Movie Title,Movie Codec,File Size,Folder Name,Multiple Movie Files? (Y/N),Additional Movie Files
Red.2.2013.720p.BluRay.x264.YIFY.mp4,AVC,910037127,Red 2,N,
Aquaman.2018.2160p.4K.BluRay.x265.10bit.AAC5.1-[YTS.MX].mkv,HEVC,7447847517,Aquaman (2018),N,
Bruce Almighty (2003) WEBDL-1080p.mkv,HEVC,1780181686,Bruce Almighty,N,
The Land Before Time - The Great Valley Adventure (1994) WEBRip-1080p.mp4,HEVC,1234345703,The Land Before Time - The Great Valley Adventure (1994),N,
Easy A (2010) Bluray-1080p.mp4,AVC,4292740002,Easy A,N,
Kingsman - The Golden Circle (2017) Bluray-1080p.mkv,AVC,2848957686,Kingsman - The Golden Circle (2017),N,
Jeff Dunham - All Over the Map (2014) Bluray-720p.mp4,AVC,1083225546,Jeff Dunham - All Over the Map (2014),N,
The Return of Jafar (1994) Bluray-1080p.mkv,AVC,3497316821,Aladdin -The Return of Jafar,N,
Dragon Ball Super - Super Hero (2022) WEBDL-1080p.mkv,HEVC,2140346262,Dragon Ball Super - Super Hero (2022),N,
Fullmetal Alchemist the Movie - Conqueror of Shamballa (2005) Bluray-1080p.mkv,HEVC,3205721164,Fullmetal Alchemist the Movie - Conqueror of Shamballa (2005),N,
Star Trek - The Captains' Summit (2009) Bluray-720p.mkv,AVC,2350280377,The Captains,Y,The Captains.avi
The Captains.avi,MPEG-4 Visual,734715904,The Captains,Y,Star Trek - The Captains' Summit (2009) Bluray-720p.mkv
Rise of the Guardians.mkv,AVC,4191063859,Rise of the Guardians (2012),Y,Rise of the Guardians-trailer.mov
Rise of the Guardians-trailer.mov,AVC,112414279,Rise of the Guardians (2012),Y,Rise of the Guardians.mkv
Ocean's Twelve (2004) Bluray-1080p.mp4,AVC,2565348009,Ocean's Twelve (2004),N,
Monty Python and the Holy Grail (1975) Bluray-1080p.mkv,AVC,3481787075,Monty Python,Y,monty python - quest for the holy grail.avi
monty python - quest for the holy grail.avi,MPEG-4 Visual,733739008,Monty Python,Y,Monty Python and the Holy Grail (1975) Bluray-1080p.mkv
Dolittle (2020) Bluray-1080p.mkv,AVC,4717906911,Dolittle (2020),N,
Despicable.Me.2.2013.1080p.BluRay.x264.YIFY.mp4,AVC,1553988533,Despicable Me 2,N,
The Super Mario Bros. Movie (2023) Bluray-2160p.mkv,HEVC,2959428891,The Super Mario Bros. Movie (2023),N,
Thor-trailer.mov,AVC,101808127,Thor (2011),Y,Thor.mkv
Thor.mkv,AVC,7040432768,Thor (2011),Y,Thor-trailer.mov
Men in Black II (2002) Bluray-1080p.mp4,AVC,3180070091,Men in Black II (2002),N,
Despicable Me 3 (2017) Bluray-1080p.mkv,AVC,7039707829,Despicable Me 3 (2017),N,
The Lion King (2019) Bluray-1080p Proper.mkv,AVC,9388006553,The Lion King (2019),N,
Sing (2016) Bluray-1080p.mp4,AVC,4292596318,Sing (2016),N,
Hercules.1997.720p.HDTV.DD5.1.x264-CtrlHD.mkv,AVC,2957247312,Hercules,N,
Hercules.1997.720p.HDTV.DD5.1.x264-CtrlHD.mkv.md5,,81,LOGS,N,
c-herc-jp.log,,516,LOGS,N,
x264.log,,4476,LOGS,N,
The Duchess (2008) Bluray-1080p.mp4,AVC,1613623404,The Duchess (2008),N,
Blue Beetle (2023) WEBDL-1080p.mkv,AVC,6977774611,Blue Beetle (2023),N,
Hacksaw Ridge (2016) Bluray-1080p.mp4,AVC,4292979179,Hacksaw Ridge (2016),N,
The.Nut.Job.2014.1080p.BluRay.x264.YIFY.mp4,AVC,1334413316,The Nut Job,N,
August Rush (2007) Bluray-1080p.mkv,AVC,5311754954,August Rush,N,
Hackers (1995) Bluray-1080p.mp4,AVC,1761438802,Hackers (1995),N,
Star Trek - First Contact (1996) Bluray-1080p.mkv,AVC,9390654415,Star Trek - First Contact (1996),N,
The Smurfs[2011]BRRip XviD-ExtraTorrentRG.avi,MPEG-4 Visual,732457968,The Smurfs,N,
Jeff Dunham - Minding the Monsters (2012) Bluray-720p.mp4,AVC,1039859223,Jeff Dunham - Minding the Monsters (2012),N,
Kong Skull Island (2017) Bluray-1080p.mp4,AVC,4292864421,Kong Skull Island (2017),N,
1989 - The Little Mermaid.avi,MPEG-4 Visual,712847360,The Little Mermaid,N,
Dawn of the Planet of the Apes (2014) Bluray-1080p.mkv,HEVC,2263855051,Dawn of the Planet of the Apes (2014),N,
Fate+stay night - Heaven's Feel I. Presage Flower (2017) Bluray-1080p.mkv,HEVC,1611948842,Fate+stay night - Heaven's Feel I. Presage Flower (2017),N,
A Bug's Life (1998) Bluray-1080p.mp4,AVC,1551909234,A Bug's Life (1998),N,
The Three Musketeers (1993) Bluray-1080p.mp4,AVC,2159484667,The Three Musketeers (1993),N,
Indiana Jones and the Kingdom of the Crystal Skull (2008) Bluray-1080p.mp4,AVC,3192693008,Indiana Jones and the Kingdom of the Crystal Skull (2008),N,
Dunkirk (2017) Bluray-1080p.mkv,AVC,9381845077,Dunkirk (2017),N,
XMen First Class.avi,MPEG-4 Visual,7489683228,X-Men - First Class,N,
1998 - The Lion King 2 - Simba's Pride.avi,MPEG-4 Visual,589879296,The Lion King 2 - Simba's Pride,N,
Spider.Man.2.2004.1080p.BluRay.x264.YIFY.mp4,AVC,2093388601,Spider Man 2,N,
Wrath of the Titans.avi,MPEG-4 Visual,6019536550,Wrath of the Titans,N,
Sonic the Hedgehog 2 (2022) WEBDL-1080p.mkv,AVC,5093701235,Sonic the Hedgehog 2 (2022),N,
1942 - Bambi.avi,MPEG-4 Visual,733067264,Bambi,N,
We're.the.Millers.2013.720p.BluRay.x264.YIFY.mp4,AVC,911602334,We're the Millers,N,
Spider-Man - Across the Spider-Verse (2023) WEBDL-1080p REAL.mkv,AVC,10991555113,Spider-Man - Across the Spider-Verse (2023),N,
The Incredibles (2004) Bluray-1080p.mkv,HEVC,6360241561,The Incredibles,Y,The Incredibles.avi
The Incredibles.avi,MPEG-4 Visual,731065288,The Incredibles,Y,The Incredibles (2004) Bluray-1080p.mkv
Knights of the Zodiac (2023) Bluray-1080p.mkv,HEVC,10715052987,Knights of the Zodiac (2023),N,
